Episode,Reward,Epsilon,Duration_s,VisitedPairs,TD_Error
485,28.836,0.143,5.83,145105,0.097189
486,46.616,0.143,5.1,145404,0.155439
487,44.748,0.142,5.37,145703,0.149434
488,28.664,0.141,5.28,146002,0.10227
489,22.409,0.141,5.78,146301,0.077093
490,43.616,0.14,5.11,146600,0.145454
491,24.111,0.14,6.33,146899,0.081399
492,22.887,0.139,5.99,147198,0.078818
493,35.442,0.139,5.49,147497,0.119102
494,25.004,0.138,5.83,147796,0.085811
495,28.843,0.138,5.57,148095,0.097566
496,22.965,0.137,5.72,148394,0.077217
497,34.129,0.136,5.26,148693,0.1145
498,32.384,0.136,5.66,148992,0.108703
499,31.149,0.135,5.51,149291,0.10437
500,31.351,0.135,5.69,149590,0.108998
501,29.792,0.134,5.64,149889,0.099732
502,37.165,0.134,5.36,150188,0.125869
503,43.909,0.133,4.91,150487,0.149144
504,35.781,0.133,5.32,150786,0.119349
505,44.65,0.132,4.97,151085,0.148905
506,32.585,0.132,5.35,151384,0.108703
507,44.268,0.131,4.92,151683,0.14761
508,30.924,0.131,5.58,151982,0.10525
509,39.627,0.13,5.5,152281,0.132481
510,36.654,0.129,5.23,152580,0.122243
511,41.857,0.129,5.2,152879,0.140109
512,27.158,0.128,7.4,153178,0.091368
513,34.096,0.128,5.64,153477,0.113935
514,35.096,0.127,5.42,153776,0.117391
515,42.123,0.127,4.99,154075,0.141548
516,37.064,0.126,5.49,154374,0.124893
517,40.793,0.126,5.34,154673,0.136634
518,37.213,0.125,5.36,154972,0.124437
519,39.208,0.125,5.22,155271,0.13109
520,42.517,0.124,5.35,155570,0.143523
521,26.297,0.124,6.28,155869,0.090146
522,41.173,0.123,5.37,156168,0.138301
523,31.411,0.123,5.56,156467,0.111637
524,37.837,0.122,5.21,156766,0.132351
525,38.136,0.122,4.22,157065,0.127506
526,24.809,0.121,6.51,157364,0.086065
527,44.784,0.121,5.36,157663,0.14967
528,43.757,0.12,5.23,157962,0.146242
529,26.785,0.12,6.1,158261,0.094029
530,39.322,0.12,5.42,158560,0.131728
531,24.272,0.119,6.2,158859,0.081593
532,34.015,0.119,5.67,159158,0.11344
533,35.387,0.118,5.63,159457,0.118904
534,25.332,0.118,6.0,159756,0.084738
535,44.34,0.117,5.02,160055,0.148189
536,39.652,0.117,5.3,160354,0.132821
537,44.665,0.116,5.21,160653,0.149359
538,26.774,0.116,6.03,160952,0.091913
539,27.519,0.115,6.14,161251,0.093543
540,34.095,0.115,5.93,161550,0.113728
541,33.787,0.114,5.74,161849,0.121129
542,46.395,0.114,5.18,162148,0.155267
543,43.2,0.113,5.19,162447,0.144236
544,25.921,0.113,6.19,162746,0.087752
545,29.378,0.113,6.06,163045,0.098425
546,34.751,0.112,5.86,163344,0.116573
547,38.578,0.112,5.72,163643,0.129006
548,28.496,0.111,6.02,163942,0.096446
549,32.224,0.111,6.06,164241,0.107827
550,43.234,0.11,5.33,164540,0.144177
551,22.693,0.11,6.44,164839,0.077795
552,31.214,0.109,6.13,165138,0.104463
553,26.443,0.109,6.31,165437,0.088895
554,32.76,0.109,6.0,165736,0.109389
555,33.8,0.108,5.92,166035,0.11378
556,40.757,0.108,5.58,166334,0.136577
557,43.376,0.107,5.39,166633,0.146386
558,34.595,0.107,6.08,166932,0.11559
559,43.202,0.106,5.28,167231,0.144609
560,44.619,0.106,5.15,167530,0.149112
561,43.165,0.106,6.04,167829,0.14475
562,37.86,0.105,3.4,168128,0.126258
563,25.186,0.105,5.91,168427,0.084789
564,44.943,0.104,5.51,168726,0.150212
565,32.953,0.104,6.06,169025,0.113477
566,42.987,0.103,5.43,169324,0.143587
567,29.331,0.103,6.24,169623,0.098191
568,22.779,0.103,6.39,169922,0.086382
569,32.574,0.102,6.2,170221,0.108671
570,30.762,0.102,6.26,170520,0.106965
571,30.714,0.101,6.24,170819,0.102799
572,39.47,0.101,6.11,171118,0.134717
573,36.366,0.101,5.83,171417,0.1213
574,43.593,0.1,4.51,171716,0.14536
575,34.346,0.1,2.79,172015,0.114567
576,42.984,0.099,2.62,172314,0.143947
577,38.294,0.099,2.73,172613,0.128268
578,40.976,0.099,2.85,172912,0.138087
579,30.142,0.098,2.81,173211,0.100918
580,43.635,0.098,2.72,173510,0.146175
581,29.683,0.097,2.91,173809,0.103959
582,27.036,0.097,2.84,174108,0.090923
583,38.344,0.097,2.82,174407,0.128307
584,44.088,0.096,2.64,174706,0.14756
585,37.847,0.096,2.84,175005,0.126554
586,27.467,0.095,2.93,175304,0.092125
587,21.481,0.095,4.73,175603,0.074371
588,35.054,0.095,6.47,175902,0.118016
589,28.501,0.094,6.51,176201,0.09529
590,41.208,0.094,5.95,176500,0.13776
591,42.313,0.094,5.74,176799,0.141095
592,44.863,0.093,6.01,177098,0.150561
593,31.19,0.093,6.65,177397,0.105029
594,33.686,0.092,7.47,177696,0.112703
595,43.888,0.092,6.99,177995,0.146584
596,24.476,0.092,8.26,178294,0.08267
597,28.322,0.091,7.68,178593,0.094963
598,43.769,0.091,6.44,178892,0.146903
599,43.307,0.091,6.13,179191,0.144662
600,34.162,0.09,7.77,179490,0.114274
601,28.057,0.09,7.62,179789,0.094164
602,45.191,0.09,6.04,180088,0.151026
603,28.017,0.089,6.77,180387,0.099098
604,38.867,0.089,6.29,180686,0.130974
605,25.29,0.088,7.12,180985,0.085221
606,23.245,0.088,7.3,181284,0.079106
607,28.398,0.088,6.66,181583,0.096998
608,34.165,0.087,6.98,181882,0.115083
609,44.449,0.087,5.85,182181,0.14821
610,42.666,0.087,6.3,182480,0.142942
611,40.226,0.086,6.44,182779,0.134488
612,38.116,0.086,6.5,183078,0.127684
613,44.012,0.086,6.4,183377,0.147345
614,43.755,0.085,6.65,183676,0.145911
615,28.179,0.085,6.7,183975,0.094446
616,44.783,0.085,5.86,184274,0.149342
617,27.4,0.084,7.07,184573,0.092113
618,23.286,0.084,7.0,184872,0.081114
619,25.093,0.084,7.17,185171,0.084333
620,43.684,0.083,6.47,185470,0.146004
621,31.81,0.083,6.84,185769,0.1063
622,35.843,0.083,6.48,186068,0.120967
623,31.273,0.082,6.88,186367,0.104689
624,43.749,0.082,6.37,186666,0.146397
625,28.509,0.082,7.18,186965,0.095116
626,26.808,0.081,6.98,187264,0.0984
627,27.112,0.081,7.64,187563,0.091081
628,25.227,0.081,7.37,187862,0.084948
629,30.933,0.08,6.93,188161,0.103585
630,41.483,0.08,6.4,188460,0.138667
