Step,Action,Reward,Done,Step_Count,Checkin,Security,Boarding,Services_to_be_Switched,Wait_Checkin_Queue,Buffer_Checkin_to_Security,Wait_Security_Queue,Buffer_Security_to_Boarding,Wait_Boarding_Queue,Reward_R1
119,0,0.0695575888757707,False,119.0,146.0,21.0,63.0,0.0,2234.0,141.0,1206.0,98.0,57.0,73.0
120,0,0.04380316653043925,False,120.0,146.0,21.0,63.0,0.0,2248.0,156.0,1211.0,96.0,65.0,57.0
121,0,0.05590558431467522,False,121.0,146.0,21.0,63.0,0.0,2271.0,138.0,1229.0,90.0,69.0,65.0
122,0,0.06245345563527382,False,122.0,146.0,21.0,63.0,0.0,2267.0,156.0,1231.0,97.0,56.0,69.0
123,0,0.04097089778907961,False,123.0,146.0,21.0,63.0,0.0,2298.0,134.0,1253.0,93.0,67.0,56.0
124,0,0.058298771935135565,False,124.0,146.0,21.0,63.0,0.0,2315.0,157.0,1250.0,93.0,63.0,67.0
125,0,0.051446280991735545,False,125.0,146.0,21.0,63.0,0.0,2340.0,136.0,1271.0,101.0,55.0,63.0
126,0,0.03829756102483375,False,126.0,146.0,21.0,63.0,0.0,2351.0,146.0,1281.0,96.0,68.0,55.0
127,0,0.058614617705526804,False,127.0,146.0,21.0,63.0,0.0,2369.0,138.0,1289.0,93.0,66.0,68.0
128,0,0.05517512790240063,False,128.0,146.0,21.0,63.0,0.0,2388.0,148.0,1299.0,99.0,57.0,66.0
129,0,0.040187464051100415,False,129.0,146.0,21.0,63.0,0.0,2421.0,137.0,1310.0,96.0,66.0,57.0
130,0,0.054446689673962406,False,130.0,146.0,21.0,63.0,0.0,2420.0,155.0,1312.0,92.0,67.0,66.0
131,0,0.05562341698705335,False,131.0,146.0,21.0,63.0,0.0,2446.0,144.0,1323.0,94.0,61.0,67.0
132,0,0.04587445382899929,False,132.0,146.0,21.0,63.0,0.0,2446.0,147.0,1340.0,96.0,61.0,61.0
133,0,0.0454506352233625,False,133.0,146.0,21.0,63.0,0.0,2468.0,143.0,1344.0,92.0,67.0,61.0
134,0,0.05481551277005822,False,134.0,146.0,21.0,63.0,0.0,2477.0,156.0,1351.0,92.0,63.0,67.0
135,0,0.04792328883237975,False,135.0,146.0,21.0,63.0,0.0,2508.0,142.0,1365.0,96.0,59.0,63.0
136,0,0.04132244018607655,False,136.0,146.0,21.0,63.0,0.0,2525.0,163.0,1364.0,97.0,62.0,59.0
137,0,0.045581060353787624,False,137.0,146.0,21.0,63.0,0.0,2540.0,145.0,1382.0,93.0,67.0,62.0
138,0,0.053358636313181766,False,138.0,146.0,21.0,63.0,0.0,2559.0,159.0,1388.0,102.0,54.0,67.0
139,0,0.03150523718705537,False,139.0,146.0,21.0,63.0,0.0,2611.0,139.0,1408.0,91.0,74.0,54.0
140,0,0.06319829160738252,False,140.0,146.0,21.0,63.0,0.0,2630.0,157.0,1410.0,97.0,57.0,74.0
141,0,0.0354062604062604,False,141.0,146.0,21.0,63.0,0.0,2667.0,135.0,1432.0,101.0,59.0,57.0
142,0,0.038329221283766736,False,142.0,146.0,21.0,63.0,0.0,2673.0,149.0,1438.0,98.0,66.0,59.0
143,0,0.04913571277207641,False,143.0,146.0,21.0,63.0,0.0,2680.0,141.0,1446.0,87.0,74.0,66.0
144,0,0.062085767767585946,False,144.0,146.0,21.0,63.0,0.0,2673.0,157.0,1450.0,92.0,58.0,74.0
145,0,0.03629161242797607,False,145.0,146.0,21.0,63.0,0.0,2686.0,145.0,1462.0,92.0,63.0,58.0
146,0,0.04375132443314262,False,146.0,146.0,21.0,63.0,0.0,2708.0,153.0,1474.0,90.0,65.0,63.0
147,0,0.0462901996992906,False,147.0,146.0,21.0,63.0,0.0,2748.0,141.0,1486.0,92.0,61.0,65.0
148,0,0.03999397067578886,False,148.0,146.0,21.0,63.0,0.0,2744.0,164.0,1483.0,91.0,64.0,61.0
149,0,0.04382877223786315,False,149.0,146.0,21.0,63.0,0.0,2790.0,137.0,1510.0,93.0,61.0,64.0
150,0,0.0386430488703216,False,150.0,146.0,21.0,63.0,0.0,2812.0,149.0,1518.0,93.0,63.0,61.0
151,0,0.04132761178215724,False,151.0,146.0,21.0,63.0,0.0,2840.0,146.0,1521.0,87.0,69.0,63.0
152,0,0.05079844398026216,False,152.0,146.0,21.0,63.0,0.0,2841.0,152.0,1535.0,92.0,58.0,69.0
153,0,0.03262293262293263,False,153.0,146.0,21.0,63.0,0.0,2881.0,135.0,1552.0,100.0,55.0,58.0
154,0,0.027768317541044807,False,154.0,146.0,21.0,63.0,0.0,2874.0,154.0,1553.0,95.0,68.0,55.0
155,0,0.04774102160465797,False,155.0,146.0,21.0,63.0,0.0,2907.0,133.0,1574.0,94.0,64.0,68.0
156,0,0.04136532659259932,False,156.0,146.0,21.0,63.0,0.0,2921.0,158.0,1569.0,100.0,57.0,64.0
157,0,0.029565510247328425,False,157.0,146.0,21.0,63.0,0.0,2948.0,146.0,1581.0,93.0,70.0,57.0
158,0,0.04982958960231687,False,158.0,146.0,21.0,63.0,0.0,2964.0,155.0,1592.0,85.0,71.0,70.0
159,0,0.05095333958970323,False,159.0,146.0,21.0,63.0,0.0,2993.0,136.0,1611.0,90.0,58.0,71.0
160,0,0.030027043663407305,False,160.0,146.0,21.0,63.0,0.0,3003.0,150.0,1617.0,89.0,64.0,58.0
161,0,0.03933894388439843,False,161.0,146.0,21.0,63.0,0.0,3012.0,144.0,1623.0,87.0,65.0,64.0
162,0,0.04095273413455231,False,162.0,146.0,21.0,63.0,0.0,3024.0,164.0,1623.0,99.0,51.0,65.0
163,0,0.01768420972966428,False,163.0,146.0,21.0,63.0,0.0,3058.0,139.0,1648.0,91.0,71.0,51.0
164,0,0.049522951795679074,False,164.0,146.0,21.0,63.0,0.0,3057.0,158.0,1649.0,90.0,64.0,71.0
165,0,0.037908556090374274,False,165.0,146.0,21.0,63.0,0.0,3085.0,141.0,1666.0,96.0,57.0,64.0
166,0,0.026545802682166317,False,166.0,146.0,21.0,63.0,0.0,3082.0,148.0,1679.0,93.0,66.0,57.0
167,0,0.040407698362243824,False,167.0,146.0,21.0,63.0,0.0,3104.0,136.0,1691.0,92.0,64.0,66.0
168,0,0.036928475564839205,False,168.0,146.0,21.0,63.0,0.0,3127.0,151.0,1696.0,96.0,59.0,64.0
169,0,0.028700592336955974,False,169.0,146.0,21.0,63.0,0.0,3137.0,145.0,1702.0,94.0,65.0,59.0
170,0,0.037893293575111744,False,170.0,146.0,21.0,63.0,0.0,3149.0,153.0,1714.0,91.0,66.0,65.0
