Episode,Reward,Epsilon,Duration_s,VisitedPairs,TD_Error
369,28.859,0.228,4.62,110421,0.099861
370,21.285,0.227,5.59,110720,0.081206
371,40.61,0.226,4.33,111019,0.136262
372,41.977,0.225,4.09,111318,0.142696
373,43.157,0.224,4.14,111617,0.144241
374,40.695,0.223,4.04,111916,0.141562
375,40.969,0.222,4.08,112215,0.140191
376,35.407,0.222,4.6,112514,0.121457
377,41.344,0.221,4.27,112813,0.144656
378,31.461,0.22,4.86,113112,0.105277
379,43.686,0.219,4.02,113411,0.146007
380,25.831,0.218,5.52,113710,0.091071
381,43.395,0.217,4.16,114009,0.145036
382,24.499,0.216,5.37,114308,0.08479
383,40.269,0.215,4.5,114607,0.136942
384,41.182,0.215,4.54,114906,0.141838
385,39.54,0.214,4.64,115205,0.132681
386,26.874,0.213,5.03,115504,0.091167
387,25.809,0.212,5.52,115803,0.087084
388,42.806,0.211,4.25,116102,0.142942
389,27.426,0.21,5.57,116401,0.092232
390,44.402,0.209,4.2,116700,0.148057
391,34.548,0.209,4.89,116999,0.116659
392,42.264,0.208,4.57,117298,0.141509
393,32.324,0.207,4.84,117597,0.107836
394,35.648,0.206,4.98,117896,0.118899
395,38.698,0.205,4.5,118195,0.129051
396,24.476,0.205,5.73,118494,0.084251
397,43.915,0.204,4.21,118793,0.148495
398,42.696,0.203,4.45,119092,0.146547
399,37.409,0.202,4.72,119391,0.125085
400,26.177,0.201,5.36,119690,0.088088
401,32.418,0.2,5.31,119989,0.108475
402,31.46,0.2,5.22,120288,0.105618
403,44.605,0.199,4.63,120587,0.148746
404,42.805,0.198,4.41,120886,0.143745
405,37.015,0.197,4.65,121185,0.126446
406,22.917,0.196,5.54,121484,0.083275
407,43.327,0.196,4.7,121783,0.144474
408,42.501,0.195,4.5,122082,0.142055
409,23.626,0.194,5.82,122381,0.081569
410,34.37,0.193,5.18,122680,0.118209
411,23.486,0.193,5.77,122979,0.079747
412,30.305,0.192,5.57,123278,0.102047
413,44.355,0.191,5.0,123577,0.149236
414,41.59,0.19,4.86,123876,0.139031
415,35.36,0.19,4.77,124175,0.118084
416,36.634,0.189,4.67,124474,0.122182
417,28.082,0.188,5.66,124773,0.094201
418,34.547,0.187,5.15,125072,0.120063
