Episode,Reward,Steps,Duration(s),ActorLoss,CriticLoss,Entropy,AdvantageMean,AdvantageStd,ValueMean
205,-116.50744419721696,300,53.92,-0.001824,9780.010347,0.01,0.0,1.0,-183.877
206,-94.89100415577694,300,53.71,-0.000804,40958.194165,0.01,0.0,1.0,-449.73563
207,-96.21440247462971,300,53.3,0.001167,37930.308704,0.01,0.0,1.0,-428.86142
208,-111.64982723505449,300,53.64,0.000433,14852.671343,0.01,0.0,1.0,-245.71307
209,-109.98414653528292,300,53.43,-0.004145,15319.465779,0.01,0.0,1.0,-250.24321
210,-105.66806526806528,300,54.07,-0.003647,21413.514795,0.01,-0.0,1.0,-305.8211
211,-105.82154028631305,300,53.27,-0.002405,21922.439702,0.01,0.0,1.0,-308.76746
212,-113.74505015186833,300,53.82,0.000112,12177.194581,0.01,0.0,1.0,-217.79109
213,-112.6427306279579,300,53.51,-0.00206,11821.339198,0.01,0.0,1.0,-215.60818
214,-107.4428533587625,300,54.09,-0.001955,19180.592388,0.01,0.0,1.0,-284.99957
215,-96.92776306185395,300,53.16,-0.0001,34231.103838,0.01,-0.0,1.0,-405.74103
216,-111.23353729603735,300,53.58,0.000217,14304.723696,0.01,-0.0,1.0,-236.52838
217,-96.26337795201431,300,53.32,-0.001049,38160.873281,0.01,-0.0,1.0,-430.33896
218,-114.62466771444046,300,53.74,0.000601,10082.869061,0.01,0.0,1.0,-193.40494
219,-115.9314641166914,300,53.6,-0.005519,10294.051768,0.01,0.0,1.0,-184.74097
220,-92.365662452026,300,53.25,-0.005986,38381.01064,0.01,0.0,1.0,-425.52246
221,-94.28330772762592,300,53.19,-0.002356,40552.123047,0.01,-0.0,1.0,-445.30057
222,-93.68344193685108,300,53.1,-0.003043,40173.835183,0.01,0.0,1.0,-441.85678
223,-102.61937557392099,300,53.47,-0.002936,26582.583384,0.01,0.0,1.0,-345.25842
224,-111.81468031127123,300,53.79,-0.005141,14408.281949,0.01,0.0,1.0,-232.27266
225,-98.46335793835797,300,53.43,-0.000152,31068.611333,0.01,0.0,1.0,-384.38235
226,-101.42003749617383,300,53.57,0.002303,28496.992446,0.01,-0.0,1.0,-360.67554
227,-101.32086394245493,300,53.01,-0.002187,26287.764312,0.01,0.0,1.0,-349.86288
228,-95.74111687975322,300,53.67,-0.00196,41588.70606,0.01,-0.0,1.0,-445.3803
229,-105.02168832850643,300,53.2,-0.002331,22473.37625,0.01,0.0,1.0,-312.58792
230,-104.56037060582513,300,53.08,-0.005081,22073.487007,0.01,-0.0,1.0,-312.36295
