Episode,Reward,Loss,Duration_s,Epsilon
307,22.83222434,0.001716335,52.96,0.215
308,35.40667573,0.001382138,52.94,0.214
309,27.7678616,0.000906451,52.85,0.212
310,24.4091898,0.001612127,52.98,0.211
311,26.83053819,0.002000259,52.85,0.21
312,28.02848767,0.000442263,52.56,0.209
313,33.61023699,0.001477144,52.14,0.208
314,37.20425614,0.006208647,52.46,0.207
315,23.74063361,0.001702177,52.96,0.206
316,37.5580655,0.006675099,52.78,0.205
317,34.87177015,0.000490233,52.54,0.204
318,27.8703533,0.000293246,53.02,0.203
319,25.83726219,0.000242836,53.84,0.202
320,33.20065192,0.002384776,52.78,0.201
321,40.11065992,0.000857682,52.69,0.2
322,28.26901651,0.00211738,52.97,0.199
323,41.37553478,0.001070315,52.57,0.198
324,41.63301547,0.001723398,52.99,0.197
325,30.41108492,0.002060602,53,0.196
326,42.06138689,0.000481986,52.62,0.195
327,42.18081426,0.000358331,52.57,0.194
328,22.3709337,0.008022284,53.17,0.193
329,27.95121671,0.000456272,53.08,0.192
330,36.51599474,0.001656265,52.11,0.191
331,24.92960108,0.006052697,52.92,0.19
332,28.31063196,0.001478593,52.67,0.189
333,23.46585759,0.002732753,52.72,0.188
334,25.4094488,0.001854122,53.15,0.187
335,31.07367733,0.000370347,52.98,0.187
336,26.30660863,0.000426169,52.57,0.186
337,32.94135999,0.00112644,57.47,0.185
338,31.98344723,0.000368641,52.79,0.184
339,22.94398001,0.000563913,52.85,0.183
340,39.56565186,0.00042669,52.46,0.182
341,31.48621118,0.002568955,53.17,0.181
342,27.66865067,0.00060416,52.8,0.18
343,25.4265228,0.001200481,52.71,0.179
344,18.73354377,0.000270743,53.57,0.178
345,32.64045613,0.000436207,53.48,0.177
346,25.80489393,0.001211473,53.18,0.177
347,22.63871406,0.000464309,53.02,0.176
348,40.51393274,0.000237855,53.26,0.175
349,31.7346716,0.000298545,52.92,0.174
350,41.31684355,0.001503487,52.27,0.173
351,30.29917297,0.005478078,52.94,0.172
352,40.98419157,0.000355459,52.94,0.171
353,27.07816981,0.000276821,52.98,0.17
354,24.42608545,0.000230775,53.21,0.17
355,28.61746456,0.000220551,53.01,0.169
356,32.14518966,0.000338275,53.53,0.168
357,22.89905759,0.000494409,53.25,0.167
358,43.96087654,0.000415297,53.22,0.166
359,33.99672424,0.000571603,53.06,0.165
360,21.5697835,0.000755503,53.19,0.165
361,23.94283158,0.004446508,53.08,0.164
362,34.22234642,0.022127269,53.32,0.163
363,42.89521379,0.000366967,52.9,0.162
364,34.47755822,0.000606404,53.06,0.161
365,22.46442779,0.001455978,53.6,0.16
366,34.88747381,0.000485673,53.1,0.16
367,30.66556739,0.000953867,53.25,0.159
368,26.60813467,0.001510404,53.11,0.158
369,43.32194497,0.000495626,52.8,0.157
370,24.74036313,0.012550399,53.12,0.157
371,41.847151,0.000388895,52.75,0.156
372,33.16339591,0.002311972,52.64,0.155
373,33.11774682,0.000295629,53.23,0.154
374,23.90006063,0.000575672,53.23,0.153
375,26.18357673,0.000469605,53.74,0.153
376,24.167846,0.00120942,53.68,0.152
377,38.35310388,0.000468901,53.22,0.151
378,43.48564432,0.00141928,53.07,0.15
379,27.08218019,0.006594362,53.35,0.15
380,27.23834558,0.001540872,53.25,0.149
381,40.92457824,0.001388282,52.73,0.148
382,28.90050888,0.000379565,53.36,0.147
383,32.32737515,0.00028946,53.06,0.147
384,26.90703274,0.000166449,53.13,0.146
385,34.30676403,0.004618368,52.73,0.145
386,25.27912693,0.000311521,53.18,0.144
387,35.48625621,0.005259794,53.04,0.144
388,36.23532469,0.000263994,52.74,0.143
389,39.40675814,0.000355233,52.63,0.142
390,26.06763586,0.005853189,53.61,0.142
391,24.15559087,0.000233469,53.19,0.141
392,39.33833675,0.000511195,53.4,0.14
393,32.53659173,0.000303833,52.96,0.139
394,39.06166119,0.000378895,52.98,0.139
395,40.61326788,0.001503384,52.67,0.138
396,40.39979957,0.001527941,53.1,0.137
397,40.49677191,0.001553887,52.71,0.137
398,41.0707521,0.000604348,52.69,0.136
399,37.94846896,0.000218651,53.17,0.135
400,39.44012326,0.000337582,52.71,0.135
401,34.26998069,0.00036264,53.13,0.134
402,43.17288179,0.000373956,52.87,0.133
403,43.40919039,0.000409056,53.05,0.133
404,37.81392597,0.000419561,53.09,0.132
405,40.08733136,0.000304213,57.25,0.131
406,44.38569818,0.007768302,52.87,0.131
407,38.18975683,0.001391404,53.13,0.13
408,34.20442214,0.000453164,52.91,0.129
409,39.29304879,0.000218804,53.44,0.129
410,41.27461709,0.0003664,53.16,0.128
411,22.4835061,0.000507098,53.42,0.127
412,28.4381322,0.000297862,53.73,0.127
413,36.17969144,0.001137689,53.9,0.126
414,29.12708996,0.000167583,53.34,0.126
415,34.34412334,0.000569107,52.91,0.125
416,32.66317899,0.00104385,53.35,0.124
417,41.31156142,0.007083641,53.28,0.124
418,34.7681415,0.000351178,53.22,0.123
419,38.98668503,0.00026305,52.77,0.122
420,32.11976466,0.000245703,53.03,0.122
421,38.89321302,0.000436544,52.55,0.121
422,38.39672129,0.001436854,53.02,0.121
423,37.09694615,0.001133114,53.37,0.12
424,26.88032952,0.000852611,53.9,0.119
425,31.57874049,0.000388247,53.23,0.119
426,30.52741694,0.001433134,53.44,0.118
427,39.03629212,0.000242849,53.11,0.118
428,26.19702738,0.00047217,53.43,0.117
429,43.08616556,0.000288347,52.67,0.116
430,38.56885434,0.000374431,53.08,0.116
431,41.44658973,0.000823028,53.18,0.115
432,32.61268895,0.00057136,53.43,0.115
433,26.51756522,0.000198896,53.64,0.114
434,28.25437034,0.000165304,52.87,0.114
435,27.6630545,0.002036287,53.45,0.113
436,42.44234066,0.000181408,52.66,0.112
437,39.78782375,0.000173962,53.09,0.112
438,26.33940895,0.000118562,53.36,0.111
439,37.94985961,0.000180258,52.81,0.111
440,30.81721351,0.00052215,52.97,0.11
441,29.01079648,0.000167478,53.41,0.11
442,28.75730292,0.010754073,53.43,0.109
443,44.06985973,0.000165739,53,0.109
444,44.23004727,0.000352583,52.87,0.108
445,30.40507081,0.000363112,53.02,0.107
446,34.85188423,0.001037183,53.35,0.107
447,43.23064209,0.000266534,53.01,0.106
448,44.66316722,0.000303866,53.16,0.106
449,30.12099021,0.001471024,52.94,0.105
450,29.64297874,0.00124708,53.56,0.105
451,44.83760713,9.87E-05,52.91,0.104
452,29.61094217,0.000297637,53.09,0.104
453,23.42437516,0.00048474,53.45,0.103
454,39.80053978,0.00050477,52.81,0.103
455,36.63832233,0.001105784,52.84,0.102
456,39.49579537,0.000344022,53.04,0.102
457,38.84534565,0.000497414,52.73,0.101
458,33.15253497,0.016855765,52.6,0.101
459,39.00285577,0.000353099,53.17,0.1
460,41.64898401,0.000372781,53.21,0.1
461,42.50309123,0.001142455,52.86,0.099
462,22.48680688,0.000229723,53.46,0.099
463,39.58555691,0.000171388,53.34,0.098
464,38.26714317,0.000343562,52.71,0.098
465,34.64895105,0.000230908,53.28,0.097
466,40.82308693,0.000297372,52.67,0.097
467,43.22478309,0.000304672,52.93,0.096
468,36.55290139,0.000479736,53.26,0.096
469,37.75354713,0.000274825,52.98,0.095
470,34.50023281,0.000271732,53.41,0.095
471,42.03548421,0.019646283,52.84,0.094
472,46.93593746,0.000305375,57.14,0.094
473,31.59040904,0.001301273,52.68,0.093
474,36.54861141,0.000326617,53.32,0.093
475,27.79664595,0.000206851,53.3,0.092
476,37.81068229,0.000350898,53.09,0.092
477,36.9566775,0.000138741,53.57,0.092
478,30.74118075,0.000223573,53.64,0.091
479,29.09680664,0.000107538,53.3,0.091
480,25.54426403,0.001815788,54.17,0.09
481,29.45758076,0.000475305,52.92,0.09
482,25.85294495,0.008556092,54.12,0.089
483,34.83333569,0.001723268,53.01,0.089
484,42.87525429,0.000175725,53.43,0.088
485,41.83600192,0.000181126,53.06,0.088
486,44.33465777,0.000147096,53.01,0.088
487,28.81740217,0.00150609,53.03,0.087
488,42.44586247,0.007642386,52.71,0.087
489,42.84852546,0.000269673,53.19,0.086
490,39.99281598,0.000495864,52.9,0.086
491,44.84903552,0.000930059,53.45,0.085
492,31.93800711,0.000783923,53.16,0.085
493,42.56857473,0.000190772,53.04,0.084
494,33.1851013,0.000294669,53.4,0.084
495,24.83236414,0.000320072,53.35,0.084
496,43.44697323,0.0004154,53.22,0.083
497,31.94345436,0.000202608,53.19,0.083
498,32.52602335,0.000191359,53.08,0.082
499,31.75283694,0.012264298,53.27,0.082
500,32.63533735,0.016360134,52.55,0.082
501,35.79613707,0.000607611,52.94,0.081
502,32.37225018,0.000269635,53.12,0.081
503,36.2896965,0.000183927,53.69,0.08
504,22.25407925,0.000286919,53.18,0.08
505,22.99489858,0.000183954,53.05,0.08
506,44.33411004,0.000681652,52.63,0.079
507,36.10613007,0.000215232,53.27,0.079
508,35.9850707,0.000180725,52.84,0.078
509,30.41660898,0.001200317,53.2,0.078
510,36.6540769,0.001526674,53.21,0.078
511,24.72140637,0.000327126,53.13,0.077
512,39.09999264,0.000141339,53.37,0.077
513,46.19366391,0.000268777,52.82,0.076
514,21.08189559,0.000566851,53.68,0.076
515,43.129134,0.000449743,52.72,0.076
516,41.94179293,0.000301613,53.01,0.075
517,41.96274605,0.000237649,52.48,0.075
518,37.04411981,0.000436901,53.44,0.075
519,29.25194162,0.000173264,53.14,0.074
520,35.17479368,0.000157738,53.32,0.074
521,46.22987509,0.00024632,52.73,0.073
522,34.20813732,0.01846296,53.7,0.073
523,46.7308487,0.000656328,52.81,0.073
524,44.52551211,0.000241167,52.96,0.072
525,37.45638465,0.000199929,53.27,0.072
526,47.5010566,0.000193683,53.1,0.072
527,35.50380966,0.000350074,53.3,0.071
528,35.87520573,0.00177824,53.04,0.071
529,45.34770078,0.001328082,52.91,0.071
530,36.10431471,0.000343389,53.11,0.07
531,27.537935,0.000664061,53.47,0.07
532,42.86326111,0.000312554,52.66,0.069
533,27.14129847,0.000211329,53.13,0.069
534,23.82012432,0.000113272,53.09,0.069
535,39.16517683,0.000183527,53.14,0.068
536,27.2074854,0.000196744,53.13,0.068
537,40.84715836,0.000497817,57.05,0.068
538,30.77770655,0.012899091,53.41,0.067
539,42.65381967,0.000395573,52.8,0.067
540,43.45287255,0.000280341,52.99,0.067
541,45.32492436,0.000736185,52.89,0.066
542,46.69750271,0.000245404,52.72,0.066
543,18.52348838,0.000188356,53.02,0.066
544,34.2877952,0.000318387,53.36,0.065
545,34.3891682,0.000228842,52.92,0.065
546,32.12346248,0.001319392,53.34,0.065
547,30.90343646,0.000964212,53.47,0.064
548,35.77286236,0.000317334,53.4,0.064
549,43.68775017,0.00139903,52.65,0.064
550,32.33040751,0.000831735,52.95,0.063
551,43.26600798,0.0002594,53.08,0.063
552,34.17759795,0.000135859,53.08,0.063
553,32.10002001,0.000515999,53.13,0.063
554,29.94450802,0.000297986,53.49,0.062
555,43.20041823,0.000355047,52.87,0.062
556,42.0961094,0.000218688,52.78,0.062
557,30.66280874,0.000582281,52.98,0.061
558,34.42545384,0.000824141,52.93,0.061
559,35.00248817,0.000381639,53.36,0.061
560,38.96400191,0.000235979,53.14,0.06
561,41.84305408,0.013347476,53.36,0.06
562,35.35379465,0.000542233,52.81,0.06
563,38.68639689,0.000528454,53.08,0.059
564,43.53891214,0.000557904,52.73,0.059
565,28.70596701,0.000174103,53.43,0.059
566,37.65586959,0.000442625,53.06,0.059
567,32.00497016,0.001479967,53.15,0.058
